Netid State Recv-Q Send-Q                                          Local Address:Port     Peer Address:Port  Process
u_str ESTAB 0      0                                                           * 25642               * 16213        
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 18769               * 24675        
u_str ESTAB 0      0                                                           * 832962              * 832963       
u_str ESTAB 0      3072                                       /run/user/1000/bus 787674              * 774083       
u_str ESTAB 0      0                                          /run/user/1000/bus 16312               * 18831        
u_str ESTAB 0      0                                          /run/user/1000/bus 6138                * 6137         
u_str ESTAB 0      0                                                           * 24622               * 21624        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 20641               * 25601        
u_str ESTAB 0      0                                                           * 15577               * 14726        
u_str ESTAB 0      0                                                           * 826196              * 826197       
u_str ESTAB 0      0                                                           * 816167              * 816166       
u_str ESTAB 0      3840                                       /run/user/1000/bus 36769               * 45889        
u_seq ESTAB 0      0                                                           * 18846               * 18847        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 18718               * 20654        
u_str ESTAB 0      0                                                           * 6011                * 20573        
u_str ESTAB 0      0                                          /run/user/1000/bus 17615               * 13283        
u_str ESTAB 0      0                                                           * 5600                * 719          
u_str ESTAB 0      0                                                           * 832109              * 832108       
u_str ESTAB 0      0                                                           * 25685               * 20682        
u_str ESTAB 0      0                                                           * 832589              * 832590       
u_str ESTAB 0      0                                                           * 812974              * 820607       
u_str ESTAB 0      3072                                       /run/user/1000/bus 769841              * 773670       
u_str ESTAB 0      0                                                           * 17352               * 16239        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 24660               * 6133         
u_str ESTAB 0      0                                                           * 15571               * 15572        
u_str ESTAB 0      0                                                           * 826307              * 826306       
u_str ESTAB 0      0                                                           * 830853              * 830854       
u_str ESTAB 0      0                                                           * 773669              * 781601       
u_str ESTAB 0      0                                                           * 60896               * 60895        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 17621               * 20568        
u_str ESTAB 0      1536                              /run/dbus/system_bus_socket 15270               * 13258        
u_str ESTAB 0      0                                                           * 24799               * 27668        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 19763               * 25616        
u_str ESTAB 0      0                                                           * 795520              * 795519       
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 781603              * 773671       
u_seq ESTAB 0      0                                                           * 22997               * 22996        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 24650               * 24649        
u_str ESTAB 0      0                                                           * 18659               * 13310        
u_str ESTAB 112    0                                                           * 17226               * 15271        
u_str ESTAB 0      0                                                           * 817133              * 817134       
u_str ESTAB 0      0                                                           * 783371              * 781600       
u_str ESTAB 0      0                                                           * 44022               * 44021        
u_seq ESTAB 0      0                                                           * 59338               * 59337        
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 24678               * 22732        
u_str ESTAB 680    0                                                           * 26671               * 17382        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 14781               * 11921        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 24657               * 25635        
u_dgr ESTAB 0      0                                                           * 6645                * 6646         
u_str ESTAB 0      0                                                           * 833930              * 833929       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 20681               * 26637        
u_str ESTAB 0      0                                                           * 18700               * 24590        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 15268               * 5946         
u_str ESTAB 0      0                                                           * 12128               * 13178        
u_str ESTAB 0      0                                 /run/user/1000/pulse/native 801839              * 795575       
u_str ESTAB 0      0                                                           * 16340               * 25781        
u_str ESTAB 0      0                                          /run/user/1000/bus 16114               * 20567        
u_str ESTAB 0      0                                          /run/user/1000/bus 17605               * 17242        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 12921               * 11983        
u_str ESTAB 0      0                                                           * 24847               * 24848        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 20680               * 25660        
u_str ESTAB 0      0                                                           * 832641              * 832642       
u_seq ESTAB 0      0                                                           * 22767               * 22766        
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 16301               * 17824        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 17734               * 26651        
u_str ESTAB 0      0                                                           * 20636               * 20637        
u_str ESTAB 0      0                                                           * 18629               * 17602        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 14723               * 5486         
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-c69slrTF 802288              * 799511       
u_str ESTAB 544    0                                                           * 773670              * 769841       
u_str ESTAB 0      0                                                           * 16280               * 23766        
u_str ESTAB 0      0                                          /run/user/1000/bus 20624               * 17337        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 13308               * 12219        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 17614               * 13281        
u_str ESTAB 0      0                                                           * 25647               * 25648        
u_str ESTAB 0      0                                                           * 832643              * 832644       
u_str ESTAB 0      0                                                           * 57601               * 42311        
u_seq ESTAB 0      0                                                           * 22770               * 22769        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 27724               * 16322        
u_str ESTAB 0      0                                          /run/user/1000/bus 25669               * 26653        
u_str ESTAB 0      0                                                           * 15583               * 4779         
u_str ESTAB 0      0                                                           * 830852              * 830851       
u_str ESTAB 0      0                                                           * 18831               * 16312        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 16240               * 17353        
u_str ESTAB 0      0                                                           * 25605               * 17357        
u_str ESTAB 0      0                                                           * 17658               * 16127        
u_str ESTAB 0      0                                                           * 5958                * 5957         
u_str ESTAB 0      0                                                           * 24840               * 24841        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 24659               * 25641        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 27741               * 16333        
u_str ESTAB 0      0                                                           * 22649               * 16194        
u_str ESTAB 0      0                                          /run/user/1000/bus 21624               * 24622        
u_str ESTAB 0      0                                                           * 20656               * 20657        
u_str ESTAB 0      0                                                           * 17220               * 5094         
u_str ESTAB 0      0                                                           * 12909               * 11951        
u_str ESTAB 0      0                                                           * 11794               * 10631        
u_str ESTAB 0      0                                                           * 852250              * 836275       
u_str ESTAB 0      0                                                           * 816879              * 812973       
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 802958              * 805045       
u_str ESTAB 0      0                                          /run/user/1000/bus 787680              * 786639       
u_str ESTAB 0      0                                                           * 18830               * 27719        
u_str ESTAB 0      0                                                           * 25606               * 20661        
u_str ESTAB 0      0                                                           * 6063                * 23639        
u_str ESTAB 0      0                                                           * 5499                * 11857        
u_dgr ESTAB 0      0                                                           * 5440                * 5439         
u_str ESTAB 0      0                                      /run/snapd-snap.socket 19854               * 24811        
u_str ESTAB 0      0                                          /run/user/1000/bus 6140                * 25643        
u_str ESTAB 0      0                                                           * 849303              * 847842       
u_str ESTAB 0      0                      /home/shoaib/.cache/ibus/dbus-yDAleGxb 22733               * 26673        
u_str ESTAB 0      0                                                           * 25694               * 18768        
u_str ESTAB 0      0                                                           * 17362               * 19802        
u_str ESTAB 0      0                                                           * 18716               * 18717        
u_str ESTAB 112    0                                                           * 20513               * 15273        
u_str ESTAB 112    0                                                           * 13258               * 15270        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 15045               * 5835         
u_str ESTAB 0      0                                                           * 15572               * 15571        
u_str ESTAB 0      0                                                           * 826215              * 826216       
u_str ESTAB 0      0                                                           * 830838              * 830839       
u_str ESTAB 0      0                                          /run/user/1000/bus 802820              * 799080       
u_str ESTAB 0      0                                                           * 16333               * 27741        
u_str ESTAB 0      0                                                           * 25607               * 17366        
